STATION,NAME,DATE,PRCP,PRCP_ATTRIBUTES
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-01,23.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-02,73.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-03,34.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-04,11.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-05,171.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-06,275.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-07,87.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-08,6.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-09,127.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-10,7.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-11,78.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1987-12,33.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-01,6.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-02,8.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-03,67.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-04,51.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-05,84.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-06,66,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-07,70.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-08,42.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-09,36.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-10,16.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-11,8.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1988-12,29,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-01,96.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-02,21.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-03,54,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-04,61.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-05,175.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-06,78.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-07,2.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-08,69.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-09,6.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-10,55.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-11,31.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1989-12,3.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-01,32.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-02,90.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-03,52.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-04,79.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-05,92.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-06,39.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-07,79.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-08,8.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-09,44.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-10,86.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-11,98.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1990-12,18.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-01,233.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-02,75.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-03,23,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-04,124.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-05,101.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-06,111.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-07,29.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-08,108.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-09,57,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-10,77.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-11,23.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1991-12,359.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-01,122.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-02,166.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-03,138.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-04,48.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-05,230.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-06,126.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-07,24.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-08,49.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-09,50.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-10,35.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-11,95.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1992-12,83.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-01,86.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-02,79.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-03,53.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-04,74.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-05,134.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-06,101.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-07,0,",T,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-08,19.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-09,8.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-10,61.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-11,25.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1993-12,29.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-01,36.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-02,54.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-03,43.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-04,42.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-05,93.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-06,18.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-07,6.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-08,215.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-09,144.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-10,199.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-11,46.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1994-12,144,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-01,20.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-02,36.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-03,56.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-04,78.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-05,241.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-06,69.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-07,16.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-08,145.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-09,68.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-10,36.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-11,81.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1995-12,12.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-01,1.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-02,15.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-03,15.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-04,48.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-05,46.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-06,113.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-07,3.8,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-08,224,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-09,102.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-10,19.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-11,104.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1996-12,55.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-01,27.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-02,100,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-03,40.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-04,142.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-05,180.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-06,227.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-07,54.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-08,59.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-09,37.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-10,137.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-11,73.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1997-12,108.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-01,68.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-02,83,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-03,77.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-04,19.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-05,18.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-06,39.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-07,22.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-08,35.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-09,171.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-10,314.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-11,102.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1998-12,39.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-01,5.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-02,0.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-03,104,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-04,20.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-05,179.7,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-06,85.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-07,112.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-08,17.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-09,7.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-10,42.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-11,3.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",1999-12,29.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-01,72.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-02,44.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-03,29.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-04,61,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-05,82.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-06,133.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-07,47.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-08,3.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-09,44.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-10,153.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-11,201.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2000-12,73.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-01,69.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-02,35.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-03,139.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-04,12.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-05,83.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-06,21.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-07,8.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-08,240.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-09,43.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-10,62.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-11,254.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2001-12,117.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2002-01,43,",,,0"
